"This product can be found within the following categories:","Dieses Produkt ist ist in folgenden Kategorien eingeordnet:"
"Vinai Kopp Extensions","Vinai Kopp Erweiterungen"
"Product Category List","Produkt Kategorien Liste"
"General","Allgemein"
"Show on Product Pages","Auf Produkt-Seiten anzeigen"
"If you select No, your theme developer can still add the block to your product template manually.","Wenn Nein, kann der Block immer noch dem Produkt-Template manuell hinzugefügt werden."
"Category Separator","Kategorie-Trenner"
"The code <strong>&amp;rArr;</strong> will show the character &rArr;","Der Code <strong>&amp;rArr;</strong> wird als &rArr; angezeigt"
